Title,Author
No Time to Spare,Ursula K. Le Guin
La Jetée,Chris Darke
The Cloven,Brian Catling
Vertigo,Charles Barr
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Catherine Fowler
Instant Stories,Wim Wenders
Instructional Photography: Learning How to Live Now,Carmen Winant
Man Hating Psycho,Iphgenia Baal
Inland Empire,Melissa Anderson
Crash,J. G. Ballard
My Mother Laughts,Chantal Akerman
Extra Salty. Jennifer’s Body,Frederick Blichert
"Goodbye, Dragon Inn",Nick Pinkerton
Can I Ask You a Question? The art and alchemy of casting,Jennifer Venditti
Dawn,Octavia E. Butler
Adulthood Rites,Octavia E. Butler
Imago,Octavia E. Butler
Fledgling,Octavia E. Butler
Kindred,Octavia E. Butler
Parable of the Sower,Octavia E. Butler
Parable of the Talents,Octavia E. Butler
Weather,Jenny Offill
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer
How I Take Photographs,Daido Moriyama
Anarchy—In a Manner of Speaking,David Graeber
The Mindful Photographer,Sophie Howarth
Half-Earth Socialism,Troy Vettese and Drew Pendergrass
White Sands,Geoff Dyer
The Twilight World,Werner Herzog
Bullshit Jobs,David Graeber
Pattern Recognition,William Gibson
Spook Country,William Gibson
Zero History,William Gibson
The Story Of Crass,George Berger
Stay True,Hua Hsu
