Title,Author
"Girl, Interrupted",Susanna Kaysen
The Bell Jar,Sylvia Plath
Harry Potter and the Sorcerer’s Stone,J.K. Rowling
Harry Potter and the Chamber of Secrets,J.K. Rowling
Tender is the Night,F. Scott Fitzgerald
Harry Potter and the Prisoner of Azkaban,J.K. Rowling
Harry Potter and the Goblet of Fire,J.K. Rowling
The Great Gatsby,F. Scott Fitzgerald
The Unbearable Lightness of Being,Milan Kundera
The Hours,Michael Cunningham
Heart of Darkness,Joseph Conrad
The Secret Sharer,Joseph Conrad
Frankenstein,Mary Shelley
