Title,Author
The Power Broker,Robert A. Caro
Dirty Truths,Michael Parenti
Notes of a Native Son,James Baldwin
His Master’s Voice,Stanislaw Lem
Archaeologies of the Future,Fredric Jameson
"Cybertypes: Race, Ethnicity, and Identity on the Internet",Lisa Nakamura
The Undersea Network,Nicole Starosielski
Marx: A Very Short Introduction,Peter Singer
Under the Perfect Sun: The San Diego Tourists Never See,"Mike Davis, Kelly Mayhew, and Jim Miller"
Across the Wounded Galaxies: Interviews with Contemporary American Science Fiction Writers,Larry McCaffery
Bijaboji,Betty Lowman Carey
Labyrinths,Jorge Luis Borges
"Rimbaud: Completed Works, Selected Letters",Arthur Rimbaud
Crash,J. G. Ballard
